CED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
CED801,1549,1447,2994,4316,4045,8361,1877,1732,3605,647,746,1393,6852,6526,13374,2922,2632,5550,1642,1438,3073,612,661,1273,5178,4733,9905,244,215,453,274,282,554,662,363,1019,803,1042,1850,7,3,14,1983,1901,3889,1190,1533,2721,546,720,1265,294,366,658,1040,1655,2691,10,6,14,3075,4279,7355,5065,6193,11260,282,275,557,481,676,1162,4,5,12,765,960,1729,3061,2599,5660,22472,22459,44922
CED802,1130,1030,2165,3542,3238,6777,721,646,1365,660,699,1353,4931,4585,9509,2351,2143,4491,634,686,1323,954,1091,2038,3946,3927,7872,207,167,371,343,345,691,319,224,546,647,837,1483,0,5,11,1518,1585,3102,4674,5403,10079,1624,1587,3205,535,668,1204,1842,2335,4173,6,12,19,8678,10010,18681,10204,11603,21802,337,259,593,454,567,1027,3,10,13,797,834,1636,3892,3528,7422,24895,25507,50403
CED803,1956,1773,3727,5209,4853,10062,1918,1837,3754,872,824,1692,8006,7523,15534,3252,2975,6231,1376,1344,2720,668,657,1322,5297,4983,10276,282,276,561,444,510,959,596,374,968,1023,1357,2380,9,3,11,2350,2524,4872,1764,2166,3926,1021,1210,2228,313,451,756,1376,1914,3288,16,10,23,4481,5746,10224,6842,8279,15123,435,400,839,687,863,1553,10,5,11,1130,1276,2404,2779,2603,5380,26006,26441,52447
CED894,3,0,8,6,5,9,0,0,0,0,0,0,6,5,9,9,23,36,0,0,5,0,0,0,11,25,37,0,4,8,0,0,3,0,0,0,3,4,7,0,0,0,9,14,21,11,6,21,4,4,9,3,5,5,0,0,8,0,0,0,14,18,35,23,31,54,0,0,0,3,6,5,0,0,0,3,6,4,97,36,131,148,104,248
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
